titles,genres
Broken Arrow,"['Drama', 'Romance', 'Western']"
Cinderella,"['Animation', 'Family', 'Fantasy']"
The Five People You Meet in Heaven,"['Drama', 'Fantasy']"
Screamers,"['Action', 'Adventure', 'Horror']"
Premium Rush,"['Action', 'Crime', 'Thriller']"
The Last Airbender,"['Action', 'Adventure', 'Family']"
Chura Liyaa Hai Tumne,"['Action', 'Drama', 'Mystery']"
Uppercut,"['Action', 'Comedy', 'Sport']"
La Antena,"['Drama', 'Fantasy', 'Sci-Fi']"
Rogue,"['Action', 'Adventure', 'Horror']"
The Wild Bunch,"['Action', 'Adventure', 'Western']"
Outbreak,"['Action', 'Drama', 'Thriller']"
In the Name of the King: A Dungeon Siege Tale,"['Action', 'Adventure', 'Drama']"
Man of Steel,"['Drama', 'Family', 'Fantasy']"
Ashes of Time,"['Action', 'Drama']"
Freebie and the Bean,"['Action', 'Comedy', 'Crime']"
Air Force One,"['Action', 'Adventure', 'Drama']"
Die Hard 2,"['Action', 'Thriller']"
The Redwood Massacre,"['Fantasy', 'Horror']"
Outlander,"['Action', 'Adventure', 'Sci-Fi']"
Ghost,"['Drama', 'Fantasy', 'Romance']"
Fair Game,"['Action', 'Crime', 'Thriller']"
The Book of Eli,"['Action', 'Adventure', 'Drama']"
Don't Hug Me I'm Scared,"['Animation', 'Short', 'Fantasy']"
Twelve,"['Action', 'Crime', 'Drama']"
Nightfall,"['Action', 'Crime', 'Thriller']"
Xingu,"['Action', 'Adventure', 'Biography']"
Frog,"['Comedy', 'Family', 'Fantasy']"
Il piccolo diavolo,"['Comedy', 'Fantasy', 'Romance']"
Batman Beyond: Return of the Joker,"['Animation', 'Action', 'Crime']"
Pet Sematary II,"['Action', 'Horror', 'Thriller']"
Marvel One-Shot: Item 47,"['Short', 'Action', 'Sci-Fi']"
Invisible Target,"['Action', 'Crime']"
Retroactive,"['Action', 'Crime', 'Drama']"
Edward Scissorhands,"['Drama', 'Fantasy', 'Romance']"
Parker,"['Action', 'Crime', 'Thriller']"
Yuva,"['Action', 'Adventure', 'Crime']"
The Bourne Identity,"['Action', 'Mystery', 'Thriller']"
Just My Luck,"['Comedy', 'Fantasy', 'Romance']"
The Stone Raft,"['Drama', 'Fantasy']"
Turbulence,"['Action', 'Thriller']"
The Hole,"['Drama', 'Fantasy', 'Musical']"
Miracle in Milan,"['Comedy', 'Drama', 'Fantasy']"
The Adventures of Tintin,"['Animation', 'Action', 'Adventure']"
Rough Cut,"['Action', 'Drama']"
Harry Potter and the Prisoner of Azkaban,"['Adventure', 'Family', 'Fantasy']"
Foreign Land,"['Action', 'Romance', 'Drama']"
A.C.A.B.,"['Action', 'Crime', 'Drama']"
Metalstorm: The Destruction of Jared-Syn,"['Adventure', 'Sci-Fi', 'Action']"
Bruce Almighty,"['Comedy', 'Drama', 'Fantasy']"
